individual,lat,lon
AMB1262_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1263_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1265_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1267_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1270_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1272_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1273_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1274_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1278_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.134,-80.393
AMB1280_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1288_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1290_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1291_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1293_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1294_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1295_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.119,-80.392
AMB1297_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1298_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1299_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1300_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1301_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1303_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
AMB1304_Diego_plastome_output_extended-pe.sorted_plastome.bam,9.115,-80.394
