,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
2,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
3,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
4,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
5,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
6,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
7,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
8,0,0,0,0,0,0,0,0,370.98,370.98,370.98,370.98,370.98,4486.16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63
9,370.98,370.98,370.98,370.98,370.98,370.98,370.98,370.98,0,0,0,0,0,4115.18,3991.65,3991.65,3991.65,3991.65,3991.65,3991.65
10,370.98,370.98,370.98,370.98,370.98,370.98,370.98,370.98,0,0,0,0,0,4115.18,3991.65,3991.65,3991.65,3991.65,3991.65,3991.65
11,370.98,370.98,370.98,370.98,370.98,370.98,370.98,370.98,0,0,0,0,0,4115.18,3991.65,3991.65,3991.65,3991.65,3991.65,3991.65
12,370.98,370.98,370.98,370.98,370.98,370.98,370.98,370.98,0,0,0,0,0,4115.18,3991.65,3991.65,3991.65,3991.65,3991.65,3991.65
13,370.98,370.98,370.98,370.98,370.98,370.98,370.98,370.98,0,0,0,0,0,4115.18,3991.65,3991.65,3991.65,3991.65,3991.65,3991.65
14,4486.16,4486.16,4486.16,4486.16,4486.16,4486.16,4486.16,4486.16,4115.18,4115.18,4115.18,4115.18,4115.18,0,123.53,123.53,123.53,123.53,123.53,123.53
15,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
16,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
17,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
18,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
19,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
20,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,4362.63,3991.65,3991.65,3991.65,3991.65,3991.65,123.53,0,0,0,0,0,0
