,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26
1,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
2,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
3,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
4,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
5,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
6,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
7,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
8,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
9,0,0,0,0,0,0,0,0,0,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19
10,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
11,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
13,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
14,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
15,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
16,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,2079.12,0,0,0,0,0,0,0,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07,574.07
17,                                                                                                                                                                                                                                                    ,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
18,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
20,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
21,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
22,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
23,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
24,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
25,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
26,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,2653.19,574.07,574.07,574.07,574.07,574.07,574.07,574.07,0,0,0,0,0,0,0,0,0,0
