B01_CKDN250005718-1A_22NYVNLT4_L3	AMB1262_Diego
B02_CKDN250005719-1A_22NYVNLT4_L1	AMB1263_Diego
B03_CKDN250005720-1A_22NYVNLT4_L1	AMB1267_Diego
B04_CKDN250005721-1A_22NYVNLT4_L1	AMB1270_Diego
B05_CKDN250005722-1A_22NYVNLT4_L1	AMB1272_Diego
B06_CKDN250005723-1A_22T5VTLT4_L1	AMB1273_Diego
B07_CKDN250005724-1A_22T_	AMB1274_Diego
B08_CKDN250005725-1A_22NYW3LT4_L7	AMB1278_Diego
B09_CKDN250005726-1A_22T5VTLT4_L1	AMB1280_Diego
B100_CKDN250005777-1A_22T_	AMB1359_Cocle
B102_CKDN250005778-1A_22T5WYLT4_L4	AMB1361_Cocle
B103_CKDN250005779-1A_22T5WYLT4_L4	AMB1362_Cocle
B104_CKDN250005780-1A_22T5WYLT4_L4	AMB1363_Cocle
B105_CKDN250005781-1A_22T5WYLT4_L4	AMB1364_Cocle
B106_CKDN250005782-1A_22T5WYLT4_L4	AMB1366_Paraiso
B107_CKDN250005783-1A_22T_	AMB1367_Paraiso
B108_CKDN250005784-1A_22T_	AMB1368_Paraiso
B109_CKDN250005785-1A_22T5WYLT4_L4	AMB1372_Paraiso
B110_CKDN250005786-1A_22T5WYLT4_L4	AMB1375_Paraiso
B111_CKDN250005787-1A_22T_	AMB1377_Paraiso
B13_CKDN250005727-1A_22T5TFLT4_L3	AMB1288_Diego
B14_CKDN250005728-1A_22T5VTLT4_L1	AMB1290_Diego
B15_CKDN250005729-1A_22T5VTLT4_L1	AMB1291_Diego
B16_CKDN250005730-1A_22NYVNLT4_L3	AMB1293_Diego
B17_CKDN250005731-1A_22T_	AMB1294_Diego
B18_CKDN250005732-1A_22T_	AMB1295_Diego
B19_CKDN250005733-1A_22T_	AMB1297_Diego
B20_CKDN250005734-1A_22T5VTLT4_L1	AMB1298_Diego
B21_CKDN250005735-1A_22_	AMB1299_Diego
