samples	pop
AMB1262_Diego-pe.sorted.bam	Diego
AMB1263_Diego-pe.sorted.bam	Diego
AMB1265_Diego-pe.sorted.bam	Diego
AMB1267_Diego-pe.sorted.bam	Diego
AMB1270_Diego-pe.sorted.bam	Diego
AMB1272_Diego-pe.sorted.bam	Diego
AMB1273_Diego-pe.sorted.bam	Diego
AMB1274_Diego-pe.sorted.bam	Diego
AMB1278_Diego-pe.sorted.bam	Diego
AMB1280_Diego-pe.sorted.bam	Diego
AMB1288_Diego-pe.sorted.bam	Diego
AMB1290_Diego-pe.sorted.bam	Diego
AMB1291_Diego-pe.sorted.bam	Diego
AMB1293_Diego-pe.sorted.bam	Diego
AMB1294_Diego-pe.sorted.bam	Diego
AMB1295_Diego-pe.sorted.bam	Diego
AMB1297_Diego-pe.sorted.bam	Diego
AMB1298_Diego-pe.sorted.bam	Diego
AMB1299_Diego-pe.sorted.bam	Diego
AMB1300_Diego-pe.sorted.bam	Diego
AMB1301_Diego-pe.sorted.bam	Diego
AMB1303_Diego-pe.sorted.bam	Diego
AMB1304_Diego-pe.sorted.bam	Diego
AMB1305_Diego-pe.sorted.bam	Diego
AMB1307_Diego-pe.sorted.bam	Diego
AMB1308_Diego-pe.sorted.bam	Diego
AMB1310_Aguacate-pe.sorted.bam	Aguacate
AMB1311_Aguacate-pe.sorted.bam	Aguacate
AMB1312_Aguacate-pe.sorted.bam	Aguacate
AMB1314_Aguacate-pe.sorted.bam	Aguacate
AMB1317_Aguacate-pe.sorted.bam	Aguacate
AMB1320_Aguacate-pe.sorted.bam	Aguacate
AMB1321_Aguacate-pe.sorted.bam	Aguacate
AMB1322_Aguacate-pe.sorted.bam	Aguacate
AMB1323_Aguacate-pe.sorted.bam	Aguacate
AMB1325_Aguacate-pe.sorted.bam	Aguacate
AMB1328_Aguacate-pe.sorted.bam	Aguacate
AMB1330_Aguacate_-pe.sorted.bam	Aguacate
AMB1331_Aguacate-pe.sorted.bam	Aguacate
AMB1341_Aguacate-pe.sorted.bam	Aguacate
AMB1342_Aguacate-pe.sorted.bam	Aguacate
AMB1343_Aguacate-pe.sorted.bam	Aguacate
AMB1344_Aguacate-pe.sorted.bam	Aguacate
AMB1345_Aguacate-pe.sorted.bam	Aguacate
AMB1346_Aguacate-pe.sorted.bam	Aguacate
AMB1348_Aguacate-pe.sorted.bam	Aguacate
AMB1349_Cocle-pe.sorted.bam	Cocle
AMB1350_Cocle-pe.sorted.bam	Cocle
AMB1351_Cocle-pe.sorted.bam	Cocle
AMB1355_Cocle-pe.sorted.bam	Cocle
AMB1356_Cocle-pe.sorted.bam	Cocle
AMB1359_Cocle-pe.sorted.bam	Cocle
AMB1360_Cocle-pe.sorted.bam	Cocle
AMB1361_Cocle-pe.sorted.bam	Cocle
AMB1362_Cocle-pe.sorted.bam	Cocle
AMB1363_Cocle-pe.sorted.bam	Cocle
AMB1364_Cocle-pe.sorted.bam	Cocle
AMB1366_Paraiso-pe.sorted.bam	Chiriqui
AMB1367_Paraiso-pe.sorted.bam	Chiriqui
AMB1368_Paraiso-pe.sorted.bam	Chiriqui
AMB1372_Paraiso-pe.sorted.bam	Chiriqui
AMB1375_Paraiso-pe.sorted.bam	Chiriqui
AMB1377_Paraiso-pe.sorted.bam	Chiriqui
AMB1379_Paraiso-pe.sorted.bam	Chiriqui
AMB1380_Paraiso-pe.sorted.bam	Chiriqui
AMB1381_Paraiso-pe.sorted.bam	Chiriqui
AMB1382_Paraiso-pe.sorted.bam	Chiriqui
AMB1394_Piedra-pe.sorted.bam	Chiriqui
AMB1396_Piedra-pe.sorted.bam	Chiriqui
