target_id	included_samples	distinct_samples	total_samples_expected	missing_samples_list	excluded_multitarget_queries
AEPI-6387	34	34	35	AMB1288_Diego	29
AT1G02410-1contig_129198	34	34	35	AMB1290_Diego	29
AT1G02420-1_contig_650	35	35	35		29
AT1G07320-1contig_16496	34	34	35	AMB1345_Aguacate	29
AT1G11290-1contig_9447	34	34	35	AMB1288_Diego	29
AT1G18480-1contig_938	35	35	35		29
AT1G20300-1contig_16277	34	34	35	AMB1345_Aguacate	29
AT1G21370-1contig_15259	35	35	35		29
AT1G28690-1contig_21511	35	35	35		29
AT1G31430-1contig_28078	35	35	35		29
AT1G52530-1contig_37702	34	34	35	AMB1323_Aguacate	29
AT1G54350-1contig_11018	35	35	35		29
AT1G63270-1contig_5944	34	34	35	AMB1288_Diego	29
AT1G65070-2contig_26116	35	35	35		29
AT1G66080-1contig_8808	33	33	35	AMB1288_Diego,AMB1362_Cocle	29
AT1G68930-1contig_189	35	35	35		29
AT1G73400-1contig_1754	34	34	35	AMB1288_Diego	29
AT1G77360-1contig_19962	35	35	35		29
AT1G80550-1contig_16927	34	34	35	AMB1345_Aguacate	29
AT1G80680-1contig_51661	35	35	35		29
AT2G03880-1contig_359	35	35	35		29
AT2G13600-1contig_30378	35	35	35		29
AT2G17265-1contig_49889	35	35	35		29
AT2G17670-1contig_3325	35	35	35		29
AT2G18940-1contig_38040	34	34	35	AMB1288_Diego	29
AT2G20540-1contig_10066	35	35	35		29
AT2G20790-1contig_1433	35	35	35		29
AT2G33260-1contig_16795	35	35	35		29
AT2G33680-1contig_11786	35	35	35		29
AT2G36240-1contig_16299	34	34	35	AMB1288_Diego	29
AT2G41080-1contig_4938	35	35	35		29
AT3G02660-1contig_21192	34	34	35	AMB1345_Aguacate	29
AT3G05340-1contig_31556	35	35	35		29
AT3G09060-1contig_11913	35	35	35		29
AT3G09580-1contig_3715	34	34	35	AMB1288_Diego	29
AT3G15130-1contig_30218	35	35	35		29
AT3G49240-1contig_22409	33	33	35	AMB1288_Diego,AMB1345_Aguacate	29
AT3G60850-1contig_8243	35	35	35		29
AT4G14170-1contig_28180	34	34	35	AMB1288_Diego	29
AT4G14605-1contig_23447	33	33	35	AMB1288_Diego,AMB1344_Aguacate	29
AT4G31850-1contig_18218	34	34	35	AMB1345_Aguacate	29
AT5G09950-1contig_15457	35	35	35		29
AT5G18390-1contig_29243	35	35	35		29
AT5G18660-1contig_31923	35	35	35		29
AT5G21040-1contig_3814	35	35	35		29
AT5G35100-1contig_21011	34	34	35	AMB1290_Diego	29
AT5G39980-1contig_50336	34	34	35	AMB1288_Diego	29
AT5G51220-1contig_8208	33	33	35	AMB1288_Diego,AMB1345_Aguacate	29
AT5G52810-1contig_9887	34	34	35	AMB1290_Diego	29
AT5G58330-1contig_45462	34	34	35	AMB1290_Diego	29
AT5G60960-1contig_57686	35	35	35		29
AT5G67530-1contig_2132_2	4	4	35	AMB1262_Diego,AMB1263_Diego,AMB1265_Diegocombined,AMB1288_Diego,AMB1291_Diego,AMB1305_Diegocombined,AMB1311_Aguacate,AMB1317_Aguacate,AMB1320_Aguacatecombined,AMB1323_Aguacate,AMB1325_Aguacate,AMB1328_Aguacatecombined,AMB1330_Aguacate,AMB1331_Aguacate,AMB1342_Aguacate,AMB1343_Aguacate,AMB1344_Aguacate,AMB1351_Cocle,AMB1355_Cocle,AMB1359_Cocle,AMB1360_Cocle,AMB1361_Cocle,AMB1362_Cocle,AMB1366_Paraiso,AMB1367_Paraiso,AMB1368_Paraiso,AMB1372_Paraiso,AMB1375_Paraiso,AMB1377_Paraiso,AMB1380_Paraiso,AMB1381_Paraiso	29
ATCG00130-1contig_239	35	35	35		29
Arath-5264	5	5	35	AMB1262_Diego,AMB1263_Diego,AMB1265_Diegocombined,AMB1288_Diego,AMB1290_Diego,AMB1291_Diego,AMB1305_Diegocombined,AMB1311_Aguacate,AMB1317_Aguacate,AMB1320_Aguacatecombined,AMB1323_Aguacate,AMB1325_Aguacate,AMB1330_Aguacate,AMB1331_Aguacate,AMB1342_Aguacate,AMB1343_Aguacate,AMB1344_Aguacate,AMB1351_Cocle,AMB1355_Cocle,AMB1359_Cocle,AMB1360_Cocle,AMB1361_Cocle,AMB1362_Cocle,AMB1366_Paraiso,AMB1368_Paraiso,AMB1372_Paraiso,AMB1375_Paraiso,AMB1377_Paraiso,AMB1380_Paraiso,AMB1381_Paraiso	29
Arath-5913	35	35	35		29
Arath-5940	34	34	35	AMB1288_Diego	29
Arath-5960	35	35	35		29
Arath-6139	33	33	35	AMB1288_Diego,AMB1290_Diego	29
Arath-6373	33	33	35	AMB1263_Diego,AMB1345_Aguacate	29
Arath-7324	34	34	35	AMB1345_Aguacate	29
Assembly-000000180537	33	33	35	AMB1320_Aguacatecombined,AMB1349_Cocle	29
BEFC-4724	35	35	35		29
BHYC-6979	35	35	35		29
BVOF-6295	21	21	35	AMB1262_Diego,AMB1263_Diego,AMB1265_Diegocombined,AMB1290_Diego,AMB1303_Diegocombined,AMB1311_Aguacate,AMB1317_Aguacate,AMB1320_Aguacatecombined,AMB1323_Aguacate,AMB1330_Aguacate,AMB1343_Aguacate,AMB1355_Cocle,AMB1359_Cocle,AMB1360_Cocle	29
ERWT-5770	35	35	35		29
GNPX-5865	35	35	35		29
HYZL-4932	34	34	35	AMB1311_Aguacate	29
MYMP-6717	35	35	35		29
NHUA-6961	35	35	35		29
Poptr-5772	34	34	35	AMB1288_Diego	29
SLYR-6954	35	35	35		29
UZWG-5620	35	35	35		29
