WARNING: query AMB1262_Diego|NODE_15567_length_2902_cov_10.448542 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1262_Diego|NODE_174975_length_985_cov_2.805376 matched multiple targets AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_2,AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_3; excluded
WARNING: query AMB1263_Diego|NODE_16697_length_2828_cov_10.868013 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1263_Diego|NODE_463204_length_439_cov_2.473958 matched multiple targets Arath-4992output_forward_paired_(paired)_trimmed_(paired)_contig_19677_2,Arath-4992output_forward_paired_(paired)_trimmed_(paired)_contig_19677_5; excluded
WARNING: query AMB1263_Diego|NODE_580463_length_352_cov_3.838384 matched multiple targets AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_2,AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_3; excluded
WARNING: query AMB1263_Diego|NODE_899345_length_244_cov_1.005291 matched multiple targets AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_5,AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_6; excluded
WARNING: query AMB1265_Diegocombined|NODE_2508_length_2534_cov_7.943122 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1265_Diegocombined|NODE_329089_length_462_cov_5.135135 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1265_Diegocombined|NODE_799874_length_253_cov_3.838384 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1288_Diego|NODE_113676_length_1522_cov_3.944104 matched multiple targets AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_2,AT5G22130.2output_forward_paired_(paired)_trimmed_(paired)_contig_5294_3; excluded
WARNING: query AMB1288_Diego|NODE_390732_length_455_cov_3.800000 matched multiple targets Assembly_000000036063_Contig_18_125,Assembly_000000036063_Contig_3_141; excluded
WARNING: query AMB1288_Diego|NODE_393923_length_451_cov_1.898990 matched multiple targets AT3G54670.3output_forward_paired_(paired)_trimmed_(paired)_contig_1430_4,AT3G54670.3output_forward_paired_(paired)_trimmed_(paired)_contig_1430_6; excluded
WARNING: query AMB1288_Diego|NODE_462352_length_377_cov_7.080745 matched multiple targets AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525,AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525_2; excluded
WARNING: query AMB1288_Diego|NODE_463709_length_376_cov_4.127726 matched multiple targets AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_2,AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_3; excluded
WARNING: query AMB1288_Diego|NODE_617600_length_279_cov_1.696429 matched multiple targets AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_5,AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_6; excluded
WARNING: query AMB1288_Diego|NODE_62292_length_2304_cov_14.233437 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1291_Diego|NODE_4011_length_2654_cov_8.105040 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1291_Diego|NODE_402210_length_467_cov_7.378641 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1291_Diego|NODE_441558_length_437_cov_2.984293 matched multiple targets AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525,AT5G66470.1output_forward_paired_(paired)_trimmed_(paired)_contig_15525_2; excluded
WARNING: query AMB1291_Diego|NODE_780878_length_273_cov_2.614679 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1305_Diegocombined|NODE_2465_length_2424_cov_7.333052 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1305_Diegocombined|NODE_435466_length_382_cov_4.067278 matched multiple targets AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_3,AT1G09010.1output_forward_paired_(paired)_trimmed_(paired)_contig_31953_4; excluded
WARNING: query AMB1317_Aguacate|NODE_346_length_2467_cov_4.567164 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1320_Aguacatecombined|NODE_469024_length_396_cov_3.900293 matched multiple targets AT3G03790.3output_forward_paired_(paired)_trimmed_(paired)_contig_1856_4,LFOG-5614output_forward_paired_(paired)_trimmed_(paired)_contig_1856; excluded
WARNING: query AMB1320_Aguacatecombined|NODE_5827_length_2478_cov_10.375567 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1320_Aguacatecombined|NODE_961459_length_226_cov_2.222222 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1323_Aguacate|NODE_1222_length_2573_cov_13.569102 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1323_Aguacate|NODE_278560_length_402_cov_2.014409 matched multiple targets AT3G04260.1output_forward_paired_(paired)_trimmed_(paired)_contig_17255_3,AT3G04260.1output_forward_paired_(paired)_trimmed_(paired)_contig_17255_4; excluded
WARNING: query AMB1323_Aguacate|NODE_579794_length_261_cov_0.922330 matched multiple targets AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_2,AT1G75200.1output_forward_paired_(paired)_trimmed_(paired)_contig_35856_5; excluded
WARNING: query AMB1325_Aguacate|NODE_469_length_2530_cov_10.270303 matched multiple targets AT5G67530.1output_forward_paired_(paired)_trimmed_(paired)_contig_2132_2,Arath-5264output_forward_paired_(paired)_trimmed_(paired)_contig_2132_3; excluded
WARNING: query AMB1328_Aguacatecombined|NODE_370890_length_321_cov_1.428571 matched multiple targets AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_2,AT1G73430.1output_forward_paired_(paired)_trimmed_(paired)_contig_72946_3; excluded
WARNING: query AMB1328_Aguacatecombined|NODE_478638_length_272_cov_1.751152 matched multiple targets AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_5,AT5G14580.1output_forward_paired_(paired)_trimmed_(paired)_contig_14437_6; excluded
